date;SP5002;NASDAQ3;CloneAi;;;
13.02.2017;22,96922;93,1402525;285,5762927;;;
27.02.2017;23,57145556;93,22255;285,6387471;;;
13.03.2017;23,74226;92,536236;289,0631975;;;
27.03.2017;23,60781;95,395424;295,3834158;;;
10.04.2017;23,59262;97,0201175;283,6268202;;;
24.04.2017;23,48412222;96,197516;297,1965777;;;
08.05.2017;23,90485;88,064794;292,7255333;;;
22.05.2017;23,88338;85,934134;301,0835233;;;
05.06.2017;24,18182222;76,55515;298,8872718;;;
19.06.2017;24,35476;70,430782;301,2623342;;;
03.07.2017;24,3167;75,752436;314,8634843;;;
17.07.2017;24,36657778;75,668626;316,541243;;;
31.07.2017;24,72312;80,8104;326,5842603;;;
14.08.2017;24,67813;85,304298;325,6285199;;;
28.08.2017;24,43946;85,236094;326,0876104;;;
11.09.2017;24,65568889;87,455312;322,654323;;;
25.09.2017;25,00894;89,913664;329,8610552;;;
09.10.2017;25,28087;90,117658;352,1214044;;;
23.10.2017;25,59053;92,9258775;343,241046;;;
06.11.2017;25,75402;94,326976;360,1164598;;;
20.11.2017;25,8269;97,291852;364,5009469;;;
04.12.2017;26,20255556;97,563322;356,6623775;;;
18.12.2017;26,55225;99,504102;367,4447768;;;
01.01.2018;26,816125;99,377812;365,0547977;;;
15.01.2018;27,41893333;102,13668;371,3784529;;;
29.01.2018;28,2626;104,784852;359,6054972;;;
12.02.2018;27,11264;105,566366;344,7873227;;;
26.02.2018;27,19271111;105,494704;338,6050311;;;
12.03.2018;27,31145;106,361828;335,5725201;;;
26.03.2018;27,04642;110,053942;328,1279383;;;
09.04.2018;26,19997778;109,973188;348,5489951;;;
23.04.2018;26,74578;112,627556;341,9794771;;;
07.05.2018;26,51511;116,455916;360,9158995;;;
21.05.2018;27,15065;116,91836;361,7090294;;;
04.06.2018;27,2305;109,638094;347,7217154;;;
18.06.2018;27,75093;109,446296;356,6580878;;;
02.07.2018;27,3357;108,599946;362,7691031;;;
16.07.2018;27,73301111;111,973532;363,4529995;;;
30.07.2018;28,1638;114,792772;355,3296007;;;
13.08.2018;28,37256;116,993868;367,6215071;;;
27.08.2018;28,55939;114,828828;356,9260025;;;
10.09.2018;28,91821111;110,982032;360,8105908;;;
24.09.2018;29,06682;116,502584;357,6267395;;;
08.10.2018;29,09465;117,6065823;351,3984525;;;
22.10.2018;27,82388;118,6825;353,8539721;;;
05.11.2018;26,99841;121,33945;362,5412359;;;
19.11.2018;27,46436;124,13168;357,0549178;;;
03.12.2018;27,01343333;124,29088;347,4062187;;;
17.12.2018;26,3901;127,03232;348,1548524;;;
31.12.2018;24,7082;128,20795;352,7510192;;;
14.01.2019;25,52714444;128,267375;356,4914704;;;
28.01.2019;26,39512222;129,73128;343,7719403;;;
11.02.2019;27,04959;130,7813;327,4965142;;;
25.02.2019;27,71912222;134,72878;322,4436048;;;
11.03.2019;27,80367;133,4158;333,278378;;;
25.03.2019;28,17709;137,69;359,8481135;;;
08.04.2019;28,5494;140,253675;362,0732245;;;
22.04.2019;28,98692222;138,57172;372,4400293;;;
06.05.2019;29,3352;133,92756;391,2866483;;;
20.05.2019;28,58891;129,21864;389,393099;;;
03.06.2019;28,04412222;132,64178;389,2163235;;;
17.06.2019;28,66683;133,41144;378,7035857;;;
01.07.2019;29,35637;130,73128;356,1148313;;;
15.07.2019;29,92874444;133,6949;355,0998526;;;
29.07.2019;30,02074;137,93344;344,4574532;;;
12.08.2019;29,23015;139,71962;332,7788521;;;
26.08.2019;28,90023;139,42098;351,9928671;;;
09.09.2019;29,31703333;140,1632;372,9131871;;;
23.09.2019;29,99831;136,00572;363,402392;;;
07.10.2019;29,49691;132,6084;372,6472159;;;
21.10.2019;29,66325;134,54256;378,0374686;;;
04.11.2019;30,33917;137,200475;392,9213891;;;
18.11.2019;30,94167;137,60706;411,2822007;;;
02.12.2019;31,25012222;140,2011;401,5716816;;;
16.12.2019;31,40823;140,8915;392,5993981;;;
30.12.2019;32,17651111;143,51122;382,9045781;;;
13.01.2020;32,54241111;145,484975;377,512073;;;
27.01.2020;33,02894444;146,64728;398,7480907;;;
10.02.2020;32,9656;145,1359;416,951423;;;
24.02.2020;33,53845556;146,98626;440,1254968;;;
09.03.2020;30,14417;147,11034;435,5488031;;;
23.03.2020;25,0804;148,26576;438,7153139;;;
06.04.2020;25,4554;147,9723;435,1001466;;;
20.04.2020;27,87503333;146,76238;438,8997915;;;
04.05.2020;28,43767;150,80572;443,6222991;;;
18.05.2020;28,8184;153,1583;453,3877998;;;
01.06.2020;29,95131111;152,26058;458,6066197;;;
15.06.2020;31,24968;150,27816;459,250941;;;
29.06.2020;30,89684;149,42632;463,0493691;;;
13.07.2020;31,48161111;144,65976;489,4959513;;;
27.07.2020;32,34024;145,311;496,2620754;;;
10.08.2020;32,98402;147,56028;506,6744375;;;
24.08.2020;33,82089;151,56676;515,2850994;;;
07.09.2020;34,89414444;154,02796;536,5698481;;;
21.09.2020;33,53873;158,71088;534,671891;;;
05.10.2020;33,28548;157,85668;542,2815193;;;
19.10.2020;34,63325;159,60268;531,3873583;;;
02.11.2020;33,75055;157,23715;534,2269299;;;
16.11.2020;35,25025;152,96736;542,0776901;;;
30.11.2020;36,02151111;156,07032;552,5465859;;;
14.12.2020;36,74338;152,26854;574,9774992;;;
28.12.2020;37,04254444;155,969025;589,44744;;;
11.01.2021;37,57653333;157,53454;591,3937617;;;
25.01.2021;38,19497778;151,36496;600,6231151;;;
08.02.2021;38,20651;150,106;601,9514836;;;
22.02.2021;39,14824444;141,25046;604,1217926;;;
08.03.2021;38,47088;136,88928;621,4691653;;;
22.03.2021;39,33185;141,5121;627,4873742;;;
05.04.2021;39,64892222;140,90506;639,2327084;;;
19.04.2021;41,29325;138,8216;636,2690581;;;
03.05.2021;41,76633;134,67722;624,1212424;;;
17.05.2021;41,61968;133,93364;645,3769934;;;
31.05.2021;41,71627778;129,21218;656,8799416;;;
14.06.2021;42,248;135,4645;657,0741492;;;
28.06.2021;42,40947;141,49492;649,9854197;;;
12.07.2021;43,37583333;144,15296;656,3652452;;;
26.07.2021;43,57251;138,2265;668,6078406;;;
09.08.2021;44,12745;134,2465;676,0134439;;;
23.08.2021;44,46834;132,18304;679,1654035;;;
06.09.2021;45,12192222;125,44372;702,0088077;;;
20.09.2021;44,64291;123,22844;699,4857241;;;
04.10.2021;43,77453;115,88132;697,8149044;;;
18.10.2021;43,9721;115,36212;707,7455069;;;
01.11.2021;45,65892;116,427425;700,9104031;;;
15.11.2021;46,71739;120,9337;700,6672408;;;
29.11.2021;46,79673333;116,32996;704,0913317;;;
13.12.2021;46,22364;108,429875;708,3958482;;;
27.12.2021;46,73782222;112,97348;696,8271902;;;
10.01.2022;47,45837;111,29005;689,8064573;;;
24.01.2022;45,73552222;114,6267;707,9069686;;;
07.02.2022;44,57805;113,15194;710,4520751;;;
21.02.2022;44,5648;118,57438;710,9683911;;;
07.03.2022;43,1638;121,0345;709,7339719;;;
21.03.2022;43,0418;126,07902;718,5831855;;;
04.04.2022;45,49955;128,60776;747,4866201;;;
18.04.2022;44,48401111;128,1856;760,2271223;;;
02.05.2022;42,81719;123,22296;780,4331966;;;
16.05.2022;40,63531;117,788325;800,7673819;;;
30.05.2022;39,91635556;119,15532;813,2998437;;;
13.06.2022;40,58493;115,77806;811,5928365;;;
27.06.2022;37,77704444;110,7658;821,9929744;;;
11.07.2022;38,42665556;108,0194;840,732127;;;
